parcel,HouseNum,Ext,Rear,Unit,Dir,Street,Des,address,I Desig Date1,I Desig Date2,D Desig Date,District,Int Desig Date,latitude,longitude
'871288750','276','','','0000000','S','20th','St','276 S 20th St','','','2/8/1995 0:00:00','RF','',39.9482973799877,-75.1745061526641
'881022475','311','15','','0000000','S','20th','St','311-15 S 20th St','','','2/8/1995 0:00:00','RF','',39.947721535499,-75.1741782989967
'081177500','317','19','','0000000','S','20th','St','317-19 S 20th St','','','2/8/1995 0:00:00','RF','',39.9476121774521,-75.1742002851872
'081177600','321','','','0000000','S','20th','St','321 S 20th St','','','2/8/1995 0:00:00','RF','',39.9474416296644,-75.1743102262079
'081177700','323','','','0000000','S','20th','St','323 S 20th St','','','2/8/1995 0:00:00','RF','',39.9473951424773,-75.1743191245805
'778207010','8871','','','0000000','','Krewstown','Rd','8871 Krewstown Rd','11/29/1960 0:00:00','','','','',40.0797756701417,-75.0520362957837
'082191010','242','','','0000000','S','21st','St','242 S 21st St','','','2/8/1995 0:00:00','RF','',39.9493591826708,-75.1762964153237
'082191100','244','46','','0000000','S','21st','St','244-46 S 21st St','','','2/8/1995 0:00:00','RF','',39.9493137352059,-75.1763516603059
'082191200','248','','','0000000','S','21st','St','248 S 21st St','','','2/8/1995 0:00:00','RF','',39.9492597358815,-75.1763929561721
'881549000','250','','','0000000','S','21st','St','250 S 21st St','','','2/8/1995 0:00:00','RF','',39.9492105045745,-75.176401957286
'881548600','251','','','0000000','S','21st','St','251 S 21st St','','','2/8/1995 0:00:00','RF','',39.9486388809816,-75.1763843571721
'881549100','252','','','0000000','S','21st','St','252 S 21st St','','','2/8/1995 0:00:00','RF','',39.9491640972147,-75.1764144196609
'888087914','253','','','1','S','21st','St','253 S 21st St','','','2/8/1995 0:00:00','RF','',39.9491984251158,-75.1758636116241
'881549005','254','','','0000000','S','21st','St','254 S 21st St','','','2/8/1995 0:00:00','RF','',39.949114865906,-75.1764234207467
'082187500','255','','','0000000','S','21st','St','255 S 21st St','','','2/8/1995 0:00:00','RF','',39.9491546817698,-75.1758724052152
'881549200','256','','','0000000','S','21st','St','256 S 21st St','','','2/8/1995 0:00:00','RF','',39.9490657145836,-75.1764359870156
'871074000','257','','','0000000','S','21st','St','257 S 21st St','','','2/8/1995 0:00:00','RF','',39.949110938423,-75.175881198795
'881549300','258','','','0000000','S','21st','St','258 S 21st St','','','2/8/1995 0:00:00','RF','',39.9490192272333,-75.1764448841469
