"Parcel","HouseNum","Ext","Rear","Unit","Dir","Street","Des","Loc","I Desig Date1","I Desig Date2","D Desig Date","District","Int Desig Date"
"888086426","1839","41",,"700",,"Spruce","St","1839-41 Spruce St",,,2/8/1995 0:00:00,"RF",
"888082983","1806","18",,"312",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888082984","1806","18",,"313",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888082985","1806","18",,"401",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888082986","1806","18",,"402",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888082987","1806","18",,"403",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888082988","1806","18",,"405",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888082989","1806","18",,"406",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888082990","1806","18",,"407",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888082991","1806","18",,"408",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888082992","1806","18",,"409",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888082993","1806","18",,"410",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888082994","1806","18",,"411",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888082995","1806","18",,"412",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888082996","1806","18",,"413",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888082998","1806","18",,"503",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888082999","1806","18",,"504",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888083000","1806","18",,"505",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888083001","1806","18",,"506",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888083002","1806","18",,"507",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888083003","1806","18",,"508",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888083004","1806","18",,"509",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888083005","1806","18",,"510",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888083006","1806","18",,"511",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888083007","1806","18",,"512",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888083008","1806","18",,"513",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888083009","1806","18",,"601",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888083010","1806","18",,"602",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888083011","1806","18",,"603",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888083012","1806","18",,"604",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888083013","1806","18",,"605",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888083014","1806","18",,"606",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888083015","1806","18",,"607",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888083016","1806","18",,"608",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888083017","1806","18",,"609",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888083018","1806","18",,"610",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888083019","1806","18",,"611",,"Rittenhouse","Sq","1806-18 Rittenhouse Sq",,,2/8/1995 0:00:00,"RF",
"888037465","50","56",,"104","N","Front","St","50-56 N Front St",5/26/1970 0:00:00,,12/12/2003 0:00:00,"OC",
"888110360","1010",,,"801",,"Arch","St","1010 Arch St",1/7/1982 0:00:00,,,,
"888110362","1010",,,"802",,"Arch","St","1010 Arch St",1/7/1982 0:00:00,,,,
"888110364","1010",,,"803",,"Arch","St","1010 Arch St",1/7/1982 0:00:00,,,,
"211121478","109",,,"0000000",,"Ring","St","109 Ring St",,,12/14/1983 0:00:00,"MAN",
"888103802","1825",,,"2",,"Delancey","Pl","1825 Delancey Pl",,,2/8/1995 0:00:00,"RF",
"888081914","2201",,,"401",,"Chestnut","St","2201 Chestnut St",,,2/8/1995 0:00:00,"RF",
"888150242","2103",,,"2",,"Green","St","2103 Green St",5/1/1975 0:00:00,,10/11/2000 0:00:00,"SG",
"888200176","115",,,"23",,"Roumfort","Rd","115 Roumfort Rd",7/5/1984 0:00:00,,,,
"888200177","115",,,"24",,"Roumfort","Rd","115 Roumfort Rd",7/5/1984 0:00:00,,,,
"888081915","2201",,,"402",,"Chestnut","St","2201 Chestnut St",,,2/8/1995 0:00:00,"RF",
"888200178","115",,,"25",,"Roumfort","Rd","115 Roumfort Rd",7/5/1984 0:00:00,,,,
"152124710","1836",,,"0000000",,"Fairmount","Ave","1836 Fairmount Ave",,,10/11/2000 0:00:00,"SG",
"774503500","5920",,,"0000000",,"City","Ave","5920 City Ave",,,,,
"262198900","2322",,,"0000000","S","21st","St","2322 S 21st St",,,11/10/1999 0:00:00,"GE",
"262193900","2323",,,"0000000","S","21st","St","2323 S 21st St",,,11/10/1999 0:00:00,"GE",
"262199000","2324",,,"0000000","S","21st","St","2324 S 21st St",,,11/10/1999 0:00:00,"GE",
"262194000","2325",,,"0000000","S","21st","St","2325 S 21st St",,,11/10/1999 0:00:00,"GE",
"262199100","2326",,,"0000000","S","21st","St","2326 S 21st St",,,11/10/1999 0:00:00,"GE",
"262194100","2327",,,"0000000","S","21st","St","2327 S 21st St",,,11/10/1999 0:00:00,"GE",
"262199200","2328",,,"0000000","S","21st","St","2328 S 21st St",,,11/10/1999 0:00:00,"GE",
